extraction_id	B1A	B1B	B2	B3	B4	B5	B6	B7	B8
EXT-0031	1.5692865666442155e-08	1.6261816648735518e-08	1.8899918871700526e-08	0.0	0.0	7.403094656767695e-11	2.1783229233038658e-12	0.0	0.0
EXT-0032	9.954890526812538e-08	9.471027557342378e-08	0.0	4.2080637350964354e-09	3.2145429826777387e-09	0.0	0.0	0.0	0.0
EXT-0037	2.8362673567513577e-09	2.709342438432442e-09	0.0	5.082291757443583e-09	3.855028021542538e-09	0.0	0.0	0.0	0.0
EXT-0040	7.415898595969428e-08	7.128075393864066e-08	0.0	7.515291801961429e-09	1.3740587234205501e-08	0.0	0.0	0.0	0.0
EXT-0045	4.713108113559312e-10	4.297004314612302e-10	7.951098696182331e-11	0.0	4.388891442078486e-11	3.052024759891986e-08	3.270122941110687e-09	0.0	0.0
EXT-0046	1.7175877765908425e-08	1.6388173933055555e-08	0.0	5.4531054982623365e-09	1.3158814558458695e-09	0.0	0.0	0.0	0.0
EXT-0071	1.8359518365468278e-09	1.906278334509081e-09	6.7974243508637925e-09	0.0	0.0	2.6591292783389436e-08	7.138184326416212e-08	1.6693578734617722e-11	1.4274132704560124e-10
EXT-0081	1.0968038427549607e-10	9.809387131856585e-11	1.377850118224932e-09	0.0	0.0	8.987726439051142e-10	3.3625203399196505e-10	2.6043373505428535e-09	1.0671143383448984e-09
EXT-0086	2.5961411271007317e-08	2.686427286420788e-08	5.853868115980723e-09	0.0	0.0	1.0260752151116725e-08	0.0	0.0	3.570676374576123e-09
EXT-0088	1.9934678457251299e-07	1.9188455237650942e-07	0.0	4.177415623671598e-08	1.686508893339646e-09	0.0	0.0	0.0	0.0
EXT-0094	1.4904754855908304e-09	1.4235501164817951e-09	1.749569397336921e-07	0.0	0.0	3.0888177599205465e-08	0.0	0.0	0.0
EXT-0098	1.1868454656266604e-07	1.1486375840766195e-07	0.0	2.845822757737733e-09	3.015005886377906e-09	0.0	0.0	0.0	0.0
EXT-0100	6.94600779298705e-08	6.796838359243678e-08	5.0337241695069364e-08	5.038346987849601e-09	7.759076144178218e-11	2.8366340026057997e-10	0.0	1.7494893710254994e-08	0.0
EXT-0107	4.180645134048114e-08	3.958707008379935e-08	8.632142026496716e-11	0.0	0.0	2.6315934814646273e-09	4.995157096181592e-11	0.0	0.0
EXT-0108	7.827043651000737e-08	8.102115755583064e-08	1.0056833642906395e-08	0.0	0.0	8.484179943884304e-10	0.0	1.2169078862324645e-08	1.3265339820594368e-08
EXT-0129	4.133407599952038e-09	4.287190061165998e-09	6.182645708583868e-10	0.0	0.0	8.519659651208406e-10	3.557070730254051e-09	4.5954597050481866e-09	1.6680438697015657e-09
EXT-0134	1.0157773411896761e-08	9.751323579535383e-09	0.0	1.7352056955634556e-09	6.061067358775571e-09	0.0	0.0	0.0	0.0
EXT-0155	2.3570026233648297e-11	2.1198876535834113e-11	3.421012260305572e-08	0.0	0.0	0.0	0.0	0.0	0.0
EXT-0165	3.941042988021717e-08	4.066874960535948e-08	1.8468764186944035e-09	0.0	1.3936393027986315e-10	2.669146051216481e-08	0.0	0.0	0.0
EXT-0169	3.10694027215339e-08	3.194675463223386e-08	4.189064796496755e-09	0.0	0.0	3.689016942781139e-09	0.0	0.0	0.0
EXT-0176	4.203702311841161e-08	4.0716984079521936e-08	0.0	1.5300430746563398e-08	4.149854832523966e-09	0.0	0.0	0.0	0.0
EXT-0181	1.5404752718426187e-09	1.4350984763296532e-09	0.0	4.30736866179241e-09	9.440728804414803e-09	0.0	0.0	0.0	0.0
EXT-0190	5.1119919681848044e-08	4.922060224499459e-08	0.0	7.735038156493688e-09	2.5651967989498247e-10	0.0	0.0	0.0	0.0
EXT-0192	5.515369893852477e-10	5.387567170370177e-10	6.101962339801519e-08	3.170493606353963e-10	0.0	2.483911443347161e-09	0.0	0.0	0.0
EXT-0198	2.9626571660455124e-08	2.8324110207958127e-08	0.0	1.188762257775402e-09	4.739008668853293e-09	0.0	0.0	0.0	0.0
EXT-0204	7.640211948825009e-08	7.933598278091345e-08	1.4311048158058415e-08	0.0	0.0	3.219735474132254e-09	0.0	0.0	0.0
EXT-0210	2.4863211299989864e-08	2.6094170673763285e-08	2.4760091148735674e-09	0.0	0.0	2.1320917964421026e-09	0.0	0.0	0.0
EXT-0219	8.942281350978752e-08	8.626348184859856e-08	0.0	2.714127129733937e-08	7.185583180215874e-08	0.0	0.0	0.0	0.0
EXT-0226	5.7606436775818586e-09	5.552605727566891e-09	2.921227113831368e-08	0.0	0.0	3.887651696653899e-08	0.0	0.0	0.0
EXT-0227	1.3949483647884958e-10	1.166241125571899e-10	1.5387186515677616e-08	0.0	0.0	5.536872447893487e-11	0.0	0.0	8.45008512021385e-09
EXT-0237	6.016121834974873e-09	5.77003665505435e-09	6.613579734806367e-11	0.0	0.0	7.20667933582858e-08	2.859594493013219e-09	0.0	0.0
EXT-0238	1.0563087770037085e-08	1.093550718619678e-08	1.8804591358262198e-09	0.0	1.7496562378800158e-09	5.579395286325593e-09	0.0	0.0	0.0
EXT-0243	7.574680103416305e-09	7.240798097244194e-09	5.339674552549333e-08	7.745792522945772e-11	0.0	3.6686851132213226e-09	0.0	0.0	0.0
EXT-0246	3.105989887666692e-10	2.763083731868395e-10	2.6349686458980704e-08	0.0	0.0	2.1289903029575857e-09	0.0	1.753656766668043e-08	0.0
EXT-0255	7.734490001966979e-08	7.953210131695227e-08	6.192308155463176e-10	0.0	0.0	8.682043011611083e-09	0.0	0.0	6.973873938099969e-11
EXT-0256	5.420853340444396e-09	5.575005005441313e-09	1.0275579297345234e-08	0.0	0.0	2.0519509342277167e-08	7.678041504925263e-09	0.0	3.89926866201839e-09
EXT-0271	2.720829958057778e-08	2.6339657790684232e-08	0.0	2.684351483576825e-09	1.9991291760571788e-08	0.0	0.0	0.0	0.0
EXT-0275	1.0911546159235257e-08	1.0436192776927304e-08	0.0	2.2350980781222653e-08	2.7388242451325863e-08	0.0	0.0	0.0	0.0
EXT-0285	4.828021318664218e-08	4.6874787574673423e-08	0.0	5.625383350855975e-09	2.6818163444925385e-08	0.0	0.0	0.0	0.0
EXT-0296	4.2321142997021675e-08	4.093650055061994e-08	0.0	5.3134402122838935e-11	1.6591858964146485e-10	0.0	0.0	0.0	0.0
EXT-0397	1.8940920575370135e-07	1.8287729097476985e-07	0.0	5.359897959438959e-09	9.562455771941064e-10	0.0	0.0	0.0	0.0
EXT-0401	1.7145716898169453e-07	1.658476985625454e-07	0.0	1.1309699222299752e-08	5.285142697280553e-10	0.0	0.0	0.0	0.0
EXT-0405	6.90303035465776e-08	6.64183294101454e-08	0.0	8.455487548278082e-09	5.432584723422847e-11	0.0	0.0	0.0	0.0
EXT-0406	5.5614307938453226e-08	5.4048589923189204e-08	0.0	1.6401139782834203e-08	5.088350512080308e-08	0.0	0.0	0.0	0.0
EXT-0417	6.971928404123617e-08	6.737559552353095e-08	0.0	8.337160422643228e-09	1.2052156781825905e-08	0.0	0.0	0.0	0.0
EXT-0418	1.3077758939909715e-07	1.2587395075719577e-07	0.0	2.185155154652029e-08	4.013616248316503e-08	0.0	0.0	0.0	0.0
EXT-0419	4.1359629308496545e-08	3.9767562033800474e-08	0.0	7.809250392476153e-09	1.085402345237867e-09	0.0	0.0	0.0	0.0
EXT-0420	1.0048240257516759e-09	9.39707195783213e-10	0.0	2.170355527242848e-09	3.30886281692245e-09	0.0	0.0	0.0	0.0
EXT-0421	1.8624946386643988e-07	1.7831097065596837e-07	0.0	5.038704192951646e-09	9.4918318661172e-10	0.0	0.0	0.0	0.0
EXT-0422	5.08256446096546e-08	4.892554243867553e-08	0.0	1.7505115666937138e-10	7.991657077091654e-10	0.0	0.0	0.0	0.0
EXT-0423	2.331840972072749e-08	2.2434715542015364e-08	0.0	4.024565777320211e-10	3.033019435118214e-10	0.0	0.0	0.0	0.0
EXT-0424	1.0158513147156929e-08	9.685431204383039e-09	0.0	1.956548479870564e-09	6.325169733500093e-09	0.0	0.0	0.0	0.0
EXT-0425	1.6535669963767646e-07	1.598679119450063e-07	0.0	9.379224456389208e-09	4.758486792475283e-10	2.7763240918244945e-11	0.0	0.0	0.0
EXT-0426	8.370371820688985e-08	8.098645764110837e-08	0.0	1.4920707533773003e-09	6.277638201881552e-09	0.0	0.0	0.0	0.0
EXT-0427	3.142084775486337e-09	2.9924177680712523e-09	0.0	8.736299350004948e-09	9.599408564427958e-10	0.0	0.0	0.0	0.0
EXT-0428	9.008149033448929e-09	8.492604043266868e-09	0.0	4.397572200513534e-11	4.7257393797410125e-11	3.2615085922215875e-09	0.0	0.0	0.0
EXT-0429	6.501156030293021e-08	6.323699507819614e-08	0.0	1.0010015627990124e-08	9.36452893803247e-11	0.0	0.0	0.0	0.0
EXT-0430	5.21616150467871e-08	5.033163513973963e-08	0.0	1.4863081204301443e-08	5.091600100235255e-08	0.0	0.0	0.0	0.0
