EXT-0029	SAMN08816124
EXT-0031	SAMN08816125
EXT-0032	SAMN08816126
EXT-0037	SAMN08816127
EXT-0040	SAMN08816128
EXT-0041	SAMN08816129
EXT-0045	SAMN08816130
EXT-0046	SAMN08816131
EXT-0048	SAMN08816132
EXT-0049	SAMN08816133
EXT-0052	SAMN08816134
EXT-0056	SAMN08816135
EXT-0060	SAMN08816136
EXT-0062	SAMN08816137
EXT-0067	SAMN08816138
EXT-0069	SAMN08816139
EXT-0070	SAMN08816140
EXT-0071	SAMN08816141
EXT-0072	SAMN08816142
EXT-0074	SAMN08816143
EXT-0079	SAMN08816144
EXT-0080	SAMN08816145
EXT-0081	SAMN08816146
EXT-0083	SAMN08816147
EXT-0086	SAMN08816148
EXT-0087	SAMN08816149
EXT-0088	SAMN08816150
EXT-0090	SAMN08816151
EXT-0094	SAMN08816152
EXT-0095	SAMN08816153
EXT-0098	SAMN08816154
EXT-0099	SAMN08816155
EXT-0100	SAMN08816156
EXT-0102	SAMN08816157
EXT-0105	SAMN08816158
EXT-0107	SAMN08816159
EXT-0108	SAMN08816160
EXT-0110	SAMN08816161
EXT-0111	SAMN08816162
EXT-0115	SAMN08816163
EXT-0120	SAMN08816164
EXT-0123	SAMN08816165
EXT-0127	SAMN08816166
EXT-0129	SAMN08816167
EXT-0131	SAMN08816168
EXT-0134	SAMN08816169
EXT-0137	SAMN08816170
EXT-0138	SAMN08816171
EXT-0140	SAMN08816172
EXT-0142	SAMN08816173
EXT-0143	SAMN08816174
EXT-0145	SAMN08816175
EXT-0151	SAMN08816176
EXT-0153	SAMN08816177
EXT-0155	SAMN08816178
EXT-0159	SAMN08816179
EXT-0161	SAMN08816180
EXT-0162	SAMN08816181
EXT-0165	SAMN08816182
EXT-0166	SAMN08816183
EXT-0168	SAMN08816184
EXT-0169	SAMN08816185
EXT-0170	SAMN08816186
EXT-0172	SAMN08816187
EXT-0173	SAMN08816188
EXT-0176	SAMN08816189
EXT-0177	SAMN08816190
EXT-0179	SAMN08816191
EXT-0181	SAMN08816192
EXT-0184	SAMN08816193
EXT-0186	SAMN08816194
EXT-0188	SAMN08816195
EXT-0190	SAMN08816196
EXT-0192	SAMN08816197
EXT-0194	SAMN08816198
EXT-0195	SAMN08816199
EXT-0197	SAMN08816200
EXT-0198	SAMN08816201
EXT-0199	SAMN08816202
EXT-0203	SAMN08816203
EXT-0204	SAMN08816204
EXT-0207	SAMN08816205
EXT-0208	SAMN08816206
EXT-0210	SAMN08816207
EXT-0214	SAMN08816208
EXT-0218	SAMN08816209
EXT-0219	SAMN08816210
EXT-0220	SAMN08816211
EXT-0224	SAMN08816212
EXT-0226	SAMN08816213
EXT-0227	SAMN08816214
EXT-0230	SAMN08816215
EXT-0231	SAMN08816216
EXT-0232	SAMN08816217
EXT-0233	SAMN08816218
EXT-0235	SAMN08816219
EXT-0236	SAMN08816220
EXT-0237	SAMN08816221
EXT-0238	SAMN08816222
EXT-0240	SAMN08816223
EXT-0243	SAMN08816224
EXT-0246	SAMN08816225
EXT-0250	SAMN08816226
EXT-0253	SAMN08816227
EXT-0255	SAMN08816228
EXT-0256	SAMN08816229
EXT-0257	SAMN08816230
EXT-0259	SAMN08816231
EXT-0264	SAMN08816232
EXT-0265	SAMN08816233
EXT-0266	SAMN08816234
EXT-0271	SAMN08816235
EXT-0274	SAMN08816236
EXT-0275	SAMN08816237
EXT-0278	SAMN08816238
EXT-0279	SAMN08816239
EXT-0283	SAMN08816240
EXT-0285	SAMN08816241
EXT-0293	SAMN08816242
EXT-0294	SAMN08816243
EXT-0296	SAMN08816244
EXT-0297	SAMN08816245
EXT-0298	SAMN08816246
EXT-0299	SAMN08816247
EXT-0300	SAMN08816248
EXT-0301	SAMN08816249
EXT-0302	SAMN08816250
EXT-0393	SAMN08816251
EXT-0394	SAMN08816252
EXT-0395	SAMN08816253
EXT-0396	SAMN08816254
EXT-0397	SAMN08816255
EXT-0398	SAMN08816256
EXT-0399	SAMN08816257
EXT-0400	SAMN08816258
EXT-0401	SAMN08816259
EXT-0402	SAMN08816260
EXT-0403	SAMN08816261
EXT-0404	SAMN08816262
EXT-0405	SAMN08816263
EXT-0406	SAMN08816264
EXT-0407	SAMN08816265
EXT-0408	SAMN08816266
EXT-0417	SAMN08816267
EXT-0418	SAMN08816268
EXT-0419	SAMN08816269
EXT-0420	SAMN08816270
EXT-0421	SAMN08816271
EXT-0422	SAMN08816272
EXT-0423	SAMN08816273
EXT-0424	SAMN08816274
EXT-0425	SAMN08816275
EXT-0426	SAMN08816276
EXT-0427	SAMN08816277
EXT-0428	SAMN08816278
EXT-0429	SAMN08816279
EXT-0430	SAMN08816280
EXT-0431	SAMN08816281
EXT-0432	SAMN08816282
EXT-0433	SAMN17064533
EXT-0434	SAMN17064534
EXT-0435	SAMN17064535
EXT-0436	SAMN17064536
EXT-0437	SAMN17064537
EXT-0438	SAMN17064538
EXT-0439	SAMN17064539
