library_id	asmbl_group
MGEN-0055a	test
MGEN-0056a	test
MGEN-0055a	core
MGEN-0056a	core
MGEN-0057a	core
MGEN-0058a	core
MGEN-0059a	core
MGEN-0060a	core
MGEN-0061a	core
MGEN-0062a	core
MGEN-0063a	core
MGEN-0064a	core
MGEN-0065a	core
MGEN-0066a	core
MGEN-0067a	core
MGEN-0068a	core
MGEN-0069a	core
MGEN-0070a	core
MGEN-0071a	core
MGEN-0072a	core
MGEN-0073a	core
MGEN-0074a	core
MGEN-0075a	core
MGEN-0076a	core
MGEN-0077a	core
MGEN-0078a	core
MGEN-0079a	core
MGEN-0080a	core
MGEN-0081a	core
MGEN-0082a	core
MGEN-0083a	core
MGEN-0084a	core
MGEN-0085a	core
MGEN-0086a	core
MGEN-0087a	core
MGEN-0088a	core
MGEN-0055b	core
MGEN-0056b	core
MGEN-0057b	core
MGEN-0058b	core
MGEN-0059b	core
MGEN-0060b	core
MGEN-0061b	core
MGEN-0062b	core
MGEN-0063b	core
MGEN-0064b	core
MGEN-0065b	core
MGEN-0066b	core
MGEN-0067b	core
MGEN-0068b	core
MGEN-0069b	core
MGEN-0070b	core
MGEN-0071b	core
MGEN-0072b	core
MGEN-0073b	core
MGEN-0074b	core
MGEN-0075b	core
MGEN-0076b	core
MGEN-0077b	core
MGEN-0078b	core
MGEN-0079b	core
MGEN-0080b	core
MGEN-0081b	core
MGEN-0082b	core
MGEN-0083b	core
MGEN-0084b	core
MGEN-0085b	core
MGEN-0086b	core
MGEN-0087b	core
MGEN-0088b	core
